Frame,Time,Rigid Body 1 X,Rigid Body 1 Y,Rigid Body 1 Z,Rigid Body 2 X,Rigid Body 2 Y,Rigid Body 2 Z,Rigid Body 3 X,Rigid Body 3 Y,Rigid Body 3 Z,Rigid Body 4 X,Rigid Body 4 Y,Rigid Body 4 Z
76,0.633333,0.016936,0.062527,0.150222,0.028011,0.063901,0.250505,0.025068,0.064487,0.030846,0.02055,0.064277,0.125578
77,0.641667,0.01691,0.062588,0.150202,0.028172,0.06399,0.251012,0.025213,0.064391,0.030107,0.020589,0.06442,0.125546
78,0.65,0.016673,0.062651,0.150203,0.02823,0.064093,0.251085,0.025164,0.064181,0.029977,0.020539,0.064368,0.125313
79,0.658333,0.016568,0.062618,0.150148,0.028244,0.064031,0.250632,0.025129,0.064293,0.030472,0.020496,0.064261,0.125486
80,0.666667,0.016734,0.06262,0.150201,0.028272,0.064012,0.250316,0.025151,0.064417,0.030853,0.020416,0.064325,0.125532
81,0.675,0.016773,0.06261,0.150252,0.028202,0.063969,0.250261,0.025179,0.064555,0.030904,0.020376,0.064297,0.125491
82,0.683333,0.016698,0.062618,0.150125,0.028195,0.063971,0.25046,0.025168,0.06447,0.030613,0.020444,0.064381,0.125589
83,0.691667,0.016665,0.062671,0.150181,0.028379,0.064092,0.250943,0.025284,0.064307,0.029961,0.020452,0.064477,0.12537
84,0.7,0.01639,0.06272,0.150124,0.028356,0.064163,0.250813,0.025246,0.064305,0.03004,0.020424,0.06436,0.125324
85,0.708333,0.016415,0.062671,0.150108,0.028334,0.064058,0.250341,0.025186,0.06433,0.030624,0.020353,0.064324,0.125458
86,0.716667,0.016576,0.062701,0.150176,0.028369,0.064029,0.250126,0.025222,0.06446,0.030827,0.020288,0.064372,0.125478
87,0.725,0.016535,0.06265,0.1502,0.028328,0.063981,0.250101,0.025223,0.064553,0.030888,0.020276,0.064323,0.125421
88,0.733333,0.01656,0.062671,0.150093,0.028449,0.064025,0.250478,0.025266,0.06444,0.030204,0.020343,0.064556,0.125632
89,0.741667,0.01653,0.062664,0.150334,0.028541,0.064135,0.250954,0.025407,0.064197,0.029543,0.020295,0.064648,0.12525
90,0.75,0.016279,0.06273,0.150084,0.02839,0.064182,0.250853,0.025499,0.064348,0.029889,0.020306,0.064424,0.125283
91,0.758333,0.016434,0.062666,0.150103,0.028259,0.064005,0.250406,0.025623,0.064459,0.030556,0.020187,0.064459,0.125391
92,0.766667,0.016669,0.062682,0.150182,0.028317,0.063899,0.250355,0.025775,0.064532,0.030724,0.020161,0.064479,0.125379
93,0.775,0.01666,0.062623,0.150153,0.028271,0.063831,0.250451,0.025767,0.06456,0.030666,0.020247,0.064452,0.1254
94,0.783333,0.016754,0.062549,0.150346,0.028366,0.063945,0.250959,0.025867,0.064418,0.029661,0.020259,0.064675,0.125544
95,0.791667,0.016714,0.062588,0.150303,0.028292,0.064007,0.251334,0.025967,0.064315,0.029513,0.020206,0.064655,0.125129
96,0.8,0.016557,0.062556,0.15011,0.028035,0.063854,0.251097,0.026052,0.064457,0.030034,0.020151,0.064497,0.125234
97,0.808333,0.016844,0.062533,0.150127,0.02799,0.063678,0.250886,0.026213,0.064476,0.030475,0.020065,0.064538,0.125283
98,0.816667,0.017105,0.062529,0.150169,0.028042,0.063488,0.250924,0.026222,0.064461,0.030566,0.020166,0.064489,0.125234
99,0.825,0.017258,0.062438,0.150136,0.028147,0.06349,0.251048,0.026153,0.064564,0.030336,0.020318,0.064544,0.125381
100,0.833333,0.017483,0.062343,0.150381,0.028287,0.063632,0.251614,0.026296,0.064442,0.029352,0.020302,0.064618,0.125274
101,0.841667,0.017375,0.062397,0.150191,0.028142,0.063638,0.25195,0.02636,0.064411,0.029486,0.020392,0.064559,0.124971
102,0.85,0.017287,0.062328,0.15011,0.027808,0.063495,0.251602,0.026427,0.064466,0.030039,0.020246,0.06443,0.12514
103,0.858333,0.017602,0.062356,0.150086,0.027751,0.063389,0.251462,0.026527,0.064452,0.030411,0.020118,0.064422,0.125171
104,0.866667,0.017824,0.062342,0.15016,0.02771,0.063247,0.251559,0.02647,0.064507,0.030518,0.020291,0.064389,0.125115
105,0.875,0.018077,0.062231,0.150134,0.027769,0.063299,0.251917,0.026435,0.064518,0.029934,0.020424,0.064503,0.125335
106,0.883333,0.018246,0.062162,0.150317,0.027757,0.063396,0.252606,0.02662,0.064453,0.02922,0.020423,0.064578,0.124983
107,0.891667,0.018016,0.062181,0.150121,0.027348,0.063361,0.252734,0.026781,0.064561,0.02954,0.020512,0.064445,0.124906
