Format Version,1.21,Take Name,circular_inextensible_tsample_0pt5s_dutycycle35_000,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-09 11.51.49.565 AM,Total Frames in Take,21975,Total Exported Frames,21975,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:2599,Unlabeled:2599,Unlabeled:2599,Unlabeled:2604,Unlabeled:2604,Unlabeled:2604,Unlabeled:2626,Unlabeled:2626,Unlabeled:2626,Unlabeled:2637,Unlabeled:2637,Unlabeled:2637,Unlabeled:2638,Unlabeled:2638,Unlabeled:2638,Unlabeled:2641,Unlabeled:2641,Unlabeled:2641,Unlabeled:2627,Unlabeled:2627,Unlabeled:2627,Unlabeled:2644,Unlabeled:2644,Unlabeled:2644
,,"8392B20CF49E3570A27","8392B20CF49E3570A27","8392B20CF49E3570A27","8392B20CF49E3570A2C","8392B20CF49E3570A2C","8392B20CF49E3570A2C","8392B20CF49E3570A42","8392B20CF49E3570A42","8392B20CF49E3570A42","8392B20CF49E3570A4D","8392B20CF49E3570A4D","8392B20CF49E3570A4D","8392B20CF49E3570A4E","8392B20CF49E3570A4E","8392B20CF49E3570A4E","8392B20CF49E3570A51","8392B20CF49E3570A51","8392B20CF49E3570A51","8392B20CF49E3570A43","8392B20CF49E3570A43","8392B20CF49E3570A43","8392B20CF49E3570A54","8392B20CF49E3570A54","8392B20CF49E3570A54"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
59,0.491667,0.165930,0.075613,0.100278,0.176319,0.068686,0.264539,0.170230,0.075728,0.167135,0.169496,0.074703,0.151710,0.173715,0.072692,0.216009,0.168826,0.077479,0.051981,,,,,,
60,0.500000,0.165930,0.075610,0.100279,0.176321,0.068683,0.264531,0.170282,0.075694,0.167130,0.169495,0.074701,0.151706,0.173714,0.072690,0.216009,0.168825,0.077471,0.051971,,,,,,
61,0.508333,0.165931,0.075606,0.100275,0.176322,0.068688,0.264533,0.170286,0.075694,0.167129,0.169491,0.074702,0.151707,0.173714,0.072687,0.216005,0.168824,0.077464,0.051969,,,,,,
62,0.516667,0.165931,0.075608,0.100275,0.176323,0.068688,0.264528,0.170286,0.075686,0.167126,0.169493,0.074699,0.151701,0.173712,0.072688,0.216003,0.168827,0.077461,0.051972,,,,,,
63,0.525000,0.165930,0.075607,0.100273,0.176324,0.068686,0.264534,0.170284,0.075690,0.167129,0.169498,0.074701,0.151702,0.173714,0.072689,0.216006,0.168824,0.077470,0.051968,,,,,,
64,0.533333,0.165926,0.075610,0.100274,0.176326,0.068689,0.264532,0.170286,0.075693,0.167128,0.169497,0.074703,0.151703,0.173713,0.072694,0.216005,0.168824,0.077465,0.051963,,,,,,
65,0.541667,0.165931,0.075609,0.100278,0.176317,0.068688,0.264530,0.170285,0.075691,0.167126,0.169495,0.074705,0.151703,0.173714,0.072694,0.216005,0.168821,0.077467,0.051968,,,,,,
66,0.550000,0.165929,0.075608,0.100277,0.176325,0.068686,0.264533,0.170283,0.075688,0.167130,0.169496,0.074701,0.151703,0.173716,0.072691,0.216007,0.168824,0.077467,0.051968,,,,,,
67,0.558333,0.165931,0.075608,0.100276,0.176325,0.068683,0.264532,0.170289,0.075688,0.167130,0.169498,0.074704,0.151706,0.173714,0.072695,0.216006,0.168828,0.077463,0.051968,,,,,,
68,0.566667,0.165933,0.075614,0.100277,0.176327,0.068690,0.264532,0.170285,0.075684,0.167128,0.169495,0.074700,0.151703,0.173713,0.072694,0.216007,0.168824,0.077476,0.051971,,,,,,
