Format Version,1.21,Take Name,circular_inextensible_tsample_0.5s,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-04 04.52.15.234 PM,Total Frames in Take,22369,Total Exported Frames,22369,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:2377,Unlabeled:2377,Unlabeled:2377,Unlabeled:2398,Unlabeled:2398,Unlabeled:2398,Unlabeled:2403,Unlabeled:2403,Unlabeled:2403,Unlabeled:2408,Unlabeled:2408,Unlabeled:2408,Unlabeled:2411,Unlabeled:2411,Unlabeled:2411,Unlabeled:2413,Unlabeled:2413,Unlabeled:2413
,,"8392B20CF49E3570949","8392B20CF49E3570949","8392B20CF49E3570949","8392B20CF49E357095E","8392B20CF49E357095E","8392B20CF49E357095E","8392B20CF49E3570963","8392B20CF49E3570963","8392B20CF49E3570963","8392B20CF49E3570968","8392B20CF49E3570968","8392B20CF49E3570968","8392B20CF49E357096B","8392B20CF49E357096B","8392B20CF49E357096B","8392B20CF49E357096D","8392B20CF49E357096D","8392B20CF49E357096D"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
35,0.291667,0.258398,0.064999,0.099095,0.266615,0.058654,0.261856,0.262542,0.058279,0.310431,0.266593,0.059067,0.198319,0.267064,0.059986,0.213675,0.260719,0.061838,0.147198
36,0.300000,0.258396,0.064999,0.099093,0.266611,0.058652,0.261858,0.262540,0.058281,0.310432,0.266589,0.059062,0.198316,0.267066,0.059986,0.213675,0.260718,0.061843,0.147200
37,0.308333,0.258398,0.065004,0.099096,0.266615,0.058651,0.261858,0.262540,0.058281,0.310434,0.266592,0.059068,0.198323,0.267058,0.059990,0.213676,0.260716,0.061839,0.147201
38,0.316667,0.258396,0.064999,0.099098,0.266611,0.058654,0.261854,0.262536,0.058276,0.310435,0.266591,0.059057,0.198324,0.267061,0.059993,0.213674,0.260716,0.061841,0.147204
39,0.325000,0.258401,0.065004,0.099097,0.266617,0.058654,0.261859,0.262542,0.058280,0.310437,0.266592,0.059077,0.198326,0.267067,0.059987,0.213680,0.260719,0.061844,0.147207
40,0.333333,0.258401,0.064996,0.099096,0.266616,0.058657,0.261858,0.262545,0.058280,0.310437,0.266594,0.059068,0.198323,0.267063,0.059985,0.213680,0.260721,0.061843,0.147205
41,0.341667,0.258404,0.065003,0.099101,0.266616,0.058654,0.261864,0.262542,0.058283,0.310440,0.266598,0.059070,0.198327,0.267066,0.059999,0.213684,0.260724,0.061841,0.147207
42,0.350000,0.258404,0.065008,0.099099,0.266620,0.058656,0.261860,0.262546,0.058289,0.310438,0.266597,0.059074,0.198329,0.267071,0.059998,0.213682,0.260724,0.061841,0.147205
43,0.358333,0.258406,0.065003,0.099100,0.266622,0.058654,0.261860,0.262548,0.058277,0.310439,0.266596,0.059070,0.198323,0.267071,0.059996,0.213683,0.260725,0.061843,0.147205
44,0.366667,0.258402,0.065006,0.099098,0.266618,0.058656,0.261860,0.262546,0.058283,0.310439,0.266595,0.059070,0.198322,0.267073,0.059987,0.213682,0.260725,0.061843,0.147202
45,0.375000,0.258405,0.065002,0.099095,0.266619,0.058654,0.261858,0.262544,0.058282,0.310434,0.266595,0.059068,0.198325,0.267069,0.059996,0.213680,0.260724,0.061843,0.147201
46,0.383333,0.258399,0.065002,0.099093,0.266621,0.058656,0.261851,0.262546,0.058281,0.310435,0.266595,0.059063,0.198318,0.267065,0.059994,0.213680,0.260724,0.061838,0.147201
47,0.391667,0.258402,0.065004,0.099090,0.266616,0.058655,0.261855,0.262543,0.058282,0.310431,0.266593,0.059069,0.198324,0.267060,0.059994,0.213678,0.260723,0.061838,0.147197
48,0.400000,0.258405,0.065006,0.099095,0.266620,0.058658,0.261854,0.262543,0.058279,0.310432,0.266595,0.059068,0.198319,0.267065,0.059992,0.213674,0.260723,0.061840,0.147200
