Format Version,1.21,Take Name,I1L_3_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-01 12.15.17.692 AM,Total Frames in Take,239,Total Exported Frames,239,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:205,Unlabeled:205,Unlabeled:205,Unlabeled:216,Unlabeled:216,Unlabeled:216,Unlabeled:218,Unlabeled:218,Unlabeled:218
,,"8392B20CF49E3570CD","8392B20CF49E3570CD","8392B20CF49E3570CD","8392B20CF49E3570D8","8392B20CF49E3570D8","8392B20CF49E3570D8","8392B20CF49E3570DA","8392B20CF49E3570DA","8392B20CF49E3570DA"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
86,0.716667,-0.162548,0.024588,0.091594,-0.122706,0.025448,0.127506,-0.155122,0.026056,0.170292
87,0.725000,-0.162552,0.024587,0.091595,-0.122709,0.025442,0.127504,-0.155124,0.026052,0.170289
88,0.733333,-0.162508,0.024597,0.091611,-0.122711,0.025452,0.127506,-0.155125,0.026054,0.170290
89,0.741667,-0.162546,0.024590,0.091593,-0.122711,0.025453,0.127504,-0.155125,0.026053,0.170290
90,0.750000,-0.162503,0.024601,0.091616,-0.122712,0.025446,0.127507,-0.155124,0.026050,0.170294
91,0.758333,-0.162507,0.024597,0.091623,-0.122708,0.025449,0.127511,-0.155119,0.026053,0.170295
92,0.766667,-0.162549,0.024591,0.091596,-0.122712,0.025450,0.127510,-0.155120,0.026054,0.170296
93,0.775000,-0.162502,0.024594,0.091619,-0.122710,0.025449,0.127509,-0.155117,0.026054,0.170297
94,0.783333,-0.162554,0.024581,0.091592,-0.122709,0.025447,0.127508,-0.155119,0.026054,0.170294
95,0.791667,-0.162551,0.024586,0.091590,-0.122713,0.025444,0.127504,-0.155118,0.026054,0.170289
96,0.800000,-0.162504,0.024592,0.091610,-0.122710,0.025447,0.127502,-0.155121,0.026056,0.170289
97,0.808333,-0.162549,0.024586,0.091589,-0.122710,0.025448,0.127501,-0.155120,0.026055,0.170288
98,0.816667,-0.162505,0.024592,0.091612,-0.122706,0.025445,0.127499,-0.155118,0.026055,0.170293
99,0.825000,-0.162545,0.024583,0.091587,-0.122708,0.025448,0.127502,-0.155114,0.026052,0.170293
100,0.833333,-0.162553,0.024587,0.091595,-0.122710,0.025450,0.127508,-0.155114,0.026054,0.170297
101,0.841667,-0.162506,0.024597,0.091618,-0.122711,0.025451,0.127509,-0.155115,0.026053,0.170299
102,0.850000,-0.162552,0.024587,0.091598,-0.122711,0.025449,0.127510,-0.155114,0.026052,0.170300
103,0.858333,-0.162549,0.024587,0.091594,-0.122711,0.025451,0.127506,-0.155118,0.026050,0.170295
104,0.866667,-0.162554,0.024582,0.091587,-0.122712,0.025447,0.127507,-0.155118,0.026054,0.170293
105,0.875000,-0.162552,0.024586,0.091589,-0.122711,0.025447,0.127505,-0.155119,0.026053,0.170290
106,0.883333,-0.162552,0.024586,0.091589,-0.122714,0.025446,0.127502,-0.155117,0.026054,0.170292
107,0.891667,-0.162546,0.024587,0.091588,-0.122712,0.025445,0.127506,-0.155118,0.026054,0.170294
108,0.900000,-0.162548,0.024589,0.091594,-0.122711,0.025447,0.127508,-0.155114,0.026058,0.170297
109,0.908333,-0.162549,0.024590,0.091595,-0.122708,0.025450,0.127509,-0.155112,0.026056,0.170300
110,0.916667,-0.162550,0.024582,0.091598,-0.122706,0.025445,0.127511,-0.155111,0.026056,0.170302
111,0.925000,-0.162507,0.024594,0.091618,-0.122712,0.025449,0.127514,-0.155112,0.026051,0.170297
112,0.933333,-0.162549,0.024586,0.091594,-0.122712,0.025447,0.127507,-0.155112,0.026052,0.170298
113,0.941667,-0.162551,0.024582,0.091590,-0.122709,0.025449,0.127507,-0.155114,0.026053,0.170296
114,0.950000,-0.162549,0.024582,0.091589,-0.122715,0.025449,0.127505,-0.155116,0.026055,0.170294
115,0.958333,-0.162550,0.024585,0.091591,-0.122713,0.025446,0.127504,-0.155112,0.026053,0.170293
116,0.966667,-0.162505,0.024599,0.091613,-0.122709,0.025451,0.127505,-0.155113,0.026054,0.170298
117,0.975000,-0.162502,0.024596,0.091614,-0.122708,0.025446,0.127506,-0.155109,0.026057,0.170302
118,0.983333,-0.162497,0.024604,0.091617,-0.122710,0.025450,0.127509,-0.155105,0.026057,0.170303
119,0.991667,-0.162546,0.024590,0.091592,-0.122710,0.025446,0.127504,-0.155109,0.026055,0.170302
120,1.000000,-0.162503,0.024600,0.091609,-0.122710,0.025450,0.127506,-0.155108,0.026057,0.170300
121,1.008333,-0.162504,0.024593,0.091616,-0.122712,0.025449,0.127507,-0.155109,0.026058,0.170297
122,1.016667,-0.162506,0.024596,0.091614,-0.122711,0.025451,0.127504,-0.155112,0.026055,0.170297
123,1.025000,-0.162546,0.024586,0.091592,-0.122714,0.025449,0.127503,-0.155111,0.026057,0.170299
124,1.033333,-0.162508,0.024591,0.091615,-0.122711,0.025444,0.127505,-0.155108,0.026057,0.170300
125,1.041667,-0.162502,0.024598,0.091616,-0.122709,0.025445,0.127508,-0.155105,0.026056,0.170304
126,1.050000,-0.162507,0.024597,0.091615,-0.122714,0.025451,0.127513,-0.155104,0.026053,0.170306
127,1.058333,-0.162550,0.024587,0.091593,-0.122713,0.025446,0.127510,-0.155105,0.026057,0.170304
128,1.066667,-0.162548,0.024585,0.091593,-0.122712,0.025445,0.127508,-0.155104,0.026055,0.170305
129,1.075000,-0.162554,0.024585,0.091592,-0.122716,0.025447,0.127506,-0.155104,0.026054,0.170304
130,1.083333,-0.162504,0.024599,0.091612,-0.122712,0.025447,0.127506,-0.155104,0.026057,0.170302
131,1.091667,-0.162550,0.024587,0.091587,-0.122716,0.025446,0.127506,-0.155108,0.026054,0.170302
132,1.100000,-0.162506,0.024599,0.091614,-0.122713,0.025449,0.127508,-0.155105,0.026054,0.170300
133,1.108333,-0.162545,0.024588,0.091592,-0.122714,0.025450,0.127506,-0.155098,0.026057,0.170306
134,1.116667,-0.162550,0.024585,0.091589,-0.122711,0.025446,0.127508,-0.155101,0.026053,0.170309
135,1.125000,-0.162546,0.024592,0.091593,-0.122710,0.025452,0.127509,-0.155098,0.026056,0.170310
136,1.133333,-0.162548,0.024584,0.091592,-0.122713,0.025453,0.127509,-0.155099,0.026058,0.170309
137,1.141667,-0.162549,0.024586,0.091593,-0.122714,0.025449,0.127509,-0.155100,0.026059,0.170308
138,1.150000,-0.162548,0.024587,0.091589,-0.122717,0.025446,0.127503,-0.155100,0.026057,0.170307
139,1.158333,-0.162548,0.024589,0.091584,-0.122715,0.025451,0.127504,-0.155103,0.026057,0.170304
140,1.166667,-0.162549,0.024582,0.091585,-0.122717,0.025447,0.127504,-0.155099,0.026057,0.170302
141,1.175000,-0.162504,0.024595,0.091609,-0.122715,0.025447,0.127509,-0.155102,0.026059,0.170305
142,1.183333,-0.162502,0.024593,0.091610,-0.122714,0.025442,0.127504,-0.155099,0.026055,0.170307
143,1.191667,-0.162501,0.024599,0.091612,-0.122715,0.025449,0.127508,-0.155096,0.026061,0.170311
144,1.200000,-0.162499,0.024595,0.091609,-0.122712,0.025446,0.127506,-0.155096,0.026057,0.170311
145,1.208333,-0.162548,0.024592,0.091590,-0.122714,0.025449,0.127508,-0.155095,0.026059,0.170311
146,1.216667,-0.162550,0.024588,0.091590,-0.122714,0.025447,0.127503,-0.155096,0.026054,0.170308
147,1.225000,-0.162549,0.024583,0.091589,-0.122714,0.025441,0.127504,-0.155098,0.026056,0.170308
148,1.233333,-0.162507,0.024593,0.091608,-0.122718,0.025447,0.127505,-0.155098,0.026059,0.170311
149,1.241667,-0.162549,0.024589,0.091592,-0.122720,0.025445,0.127509,-0.155096,0.026060,0.170312
150,1.250000,-0.162546,0.024584,0.091588,-0.122716,0.025445,0.127502,-0.155099,0.026053,0.170313
151,1.258333,-0.162507,0.024596,0.091611,-0.122714,0.025447,0.127507,-0.155092,0.026056,0.170313
152,1.266667,-0.162547,0.024587,0.091588,-0.122717,0.025445,0.127511,-0.155093,0.026058,0.170312
153,1.275000,-0.162547,0.024590,0.091593,-0.122709,0.025445,0.127508,-0.155088,0.026055,0.170312
154,1.283333,-0.162549,0.024589,0.091583,-0.122717,0.025447,0.127504,-0.155088,0.026057,0.170313
155,1.291667,-0.162545,0.024586,0.091588,-0.122713,0.025449,0.127504,-0.155092,0.026058,0.170314
156,1.300000,-0.162546,0.024584,0.091590,-0.122720,0.025442,0.127504,-0.155090,0.026058,0.170310
157,1.308333,-0.162547,0.024588,0.091587,-0.122718,0.025447,0.127503,-0.155092,0.026055,0.170312
158,1.316667,-0.162504,0.024591,0.091610,-0.122718,0.025442,0.127508,-0.155091,0.026056,0.170314
159,1.325000,-0.162545,0.024592,0.091592,-0.122712,0.025449,0.127506,-0.155090,0.026056,0.170317
160,1.333333,-0.162550,0.024582,0.091591,-0.122715,0.025448,0.127507,-0.155090,0.026056,0.170318
161,1.341667,-0.162548,0.024584,0.091586,-0.122717,0.025441,0.127505,-0.155087,0.026057,0.170317
