Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z
97,0.808333,-0.050035,0.027027,0.064111,-0.030690,0.027073,0.119634,-0.023770,0.026033,0.002976
98,0.816667,-0.050034,0.027031,0.064110,-0.030690,0.027076,0.119633,-0.023769,0.026038,0.002973
99,0.825000,-0.050034,0.027026,0.064110,-0.030690,0.027074,0.119631,-0.023769,0.026036,0.002973
100,0.833333,-0.050032,0.027025,0.064110,-0.030689,0.027074,0.119637,-0.023771,0.026037,0.002972
101,0.841667,-0.050036,0.027023,0.064110,-0.030694,0.027071,0.119634,-0.023766,0.026037,0.002975
102,0.850000,-0.050031,0.027024,0.064111,-0.030688,0.027080,0.119635,-0.023768,0.026036,0.002976
103,0.858333,-0.050032,0.027024,0.064112,-0.030686,0.027078,0.119631,-0.023766,0.026036,0.002975
104,0.866667,-0.050032,0.027025,0.064115,-0.030690,0.027075,0.119633,-0.023765,0.026037,0.002974
105,0.875000,-0.050027,0.027028,0.064109,-0.030687,0.027072,0.119631,-0.023765,0.026034,0.002973
106,0.883333,-0.050027,0.027028,0.064109,-0.030687,0.027076,0.119634,-0.023766,0.026038,0.002978
107,0.891667,-0.050029,0.027028,0.064109,-0.030686,0.027079,0.119636,-0.023763,0.026036,0.002980
108,0.900000,-0.050024,0.027027,0.064111,-0.030682,0.027075,0.119632,-0.023765,0.026037,0.002977
109,0.908333,-0.050028,0.027023,0.064110,-0.030685,0.027072,0.119631,-0.023765,0.026038,0.002978
110,0.916667,-0.050027,0.027027,0.064108,-0.030685,0.027077,0.119630,-0.023764,0.026039,0.002980
111,0.925000,-0.050026,0.027025,0.064112,-0.030681,0.027073,0.119633,-0.023764,0.026039,0.002979
112,0.933333,-0.050026,0.027029,0.064111,-0.030688,0.027072,0.119630,-0.023765,0.026035,0.002979
113,0.941667,-0.050024,0.027024,0.064114,-0.030685,0.027077,0.119633,-0.023765,0.026036,0.002979
114,0.950000,-0.050028,0.027027,0.064110,-0.030683,0.027074,0.119633,-0.023764,0.026039,0.002983
115,0.958333,-0.050027,0.027026,0.064113,-0.030682,0.027079,0.119630,-0.023765,0.026038,0.002981
116,0.966667,-0.050025,0.027026,0.064111,-0.030687,0.027070,0.119629,-0.023764,0.026038,0.002980
117,0.975000,-0.050026,0.027025,0.064108,-0.030685,0.027072,0.119632,-0.023762,0.026039,0.002982
118,0.983333,-0.050021,0.027027,0.064116,-0.030681,0.027070,0.119628,-0.023762,0.026041,0.002982
119,0.991667,-0.050025,0.027028,0.064112,-0.030683,0.027077,0.119630,-0.023762,0.026039,0.002980
120,1.000000,-0.050022,0.027028,0.064113,-0.030679,0.027073,0.119627,-0.023761,0.026044,0.002982
121,1.008333,-0.050016,0.027027,0.064110,-0.030680,0.027074,0.119627,-0.023761,0.026042,0.002982
122,1.016667,-0.050020,0.027025,0.064113,-0.030679,0.027074,0.119627,-0.023761,0.026041,0.002983
123,1.025000,-0.050017,0.027031,0.064112,-0.030681,0.027074,0.119627,-0.023761,0.026038,0.002984
124,1.033333,-0.050022,0.027025,0.064111,-0.030683,0.027078,0.119628,-0.023762,0.026039,0.002985
125,1.041667,-0.050021,0.027026,0.064115,-0.030679,0.027078,0.119630,-0.023761,0.026041,0.002982
126,1.050000,-0.050020,0.027030,0.064112,-0.030681,0.027080,0.119630,-0.023760,0.026040,0.002985
127,1.058333,-0.050020,0.027027,0.064112,-0.030679,0.027079,0.119627,-0.023762,0.026038,0.002985
128,1.066667,-0.050017,0.027029,0.064108,-0.030680,0.027078,0.119629,-0.023763,0.026041,0.002983
129,1.075000,-0.050023,0.027027,0.064111,-0.030682,0.027076,0.119627,-0.023761,0.026037,0.002981
130,1.083333,-0.050022,0.027026,0.064112,-0.030680,0.027083,0.119625,-0.023763,0.026039,0.002981
131,1.091667,-0.050019,0.027029,0.064110,-0.030680,0.027075,0.119627,-0.023765,0.026033,0.002980
132,1.100000,-0.050023,0.027027,0.064115,-0.030681,0.027073,0.119627,-0.023760,0.026038,0.002985
133,1.108333,-0.050019,0.027030,0.064114,-0.030682,0.027080,0.119628,-0.023763,0.026038,0.002982
134,1.116667,-0.050025,0.027030,0.064110,-0.030681,0.027075,0.119632,-0.023762,0.026040,0.002981
135,1.125000,-0.050027,0.027028,0.064116,-0.030687,0.027079,0.119628,-0.023767,0.026037,0.002981
136,1.133333,-0.050027,0.027028,0.064109,-0.030681,0.027079,0.119632,-0.023768,0.026038,0.002980
137,1.141667,-0.050028,0.027030,0.064110,-0.030684,0.027076,0.119634,-0.023762,0.026038,0.002978
138,1.150000,-0.050032,0.027031,0.064112,-0.030690,0.027074,0.119634,-0.023766,0.026035,0.002974
